institute_name,hostel_available,official_website
"Sigma Uni. Bakrol, Vadodara",No,
"Sigma, Bakrol",No,
"Silver Oak College Of Engg., & Tech. (WITHIN AMHEDABAD MUNICIPAL CORPORATION LIMIT), Ahmedabad",Yes,
"Silver Oak College Of Engg., & Tech. (Within Amhedabad Municipal Corporation Limit), Ahmedabad",Yes,
"Silver Oak, Ahmedabad",No,
"Smt. S.R. Patel Engg. College, Dabhi, Unjha",Yes,
"Subhash, Junagadh",No,
"Swaminarayan College Of Engg. & Tech., Kalol",Yes,
Swarrnim Institute of Technology,Yes,
"Swarrnim, Bhoyan",No,
"Tatva, Modasa",No,
